epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,182.34,0.36709,1.71661,0.98231,0.0162,0.95,0.94515,0.86181,0.3808,3.25873,0.97225,8.31438e-05,8.31438e-05,8.31438e-05
55,185.623,0.41172,1.72577,0.98637,0.0162,0.95,0.94515,0.86181,0.3808,3.25873,0.97225,7.3575e-05,7.3575e-05,7.3575e-05
56,188.964,0.38166,1.66414,0.92778,0.0162,0.95,0.94515,0.86181,0.3808,3.25873,0.97225,6.35938e-05,6.35938e-05,6.35938e-05
57,192.187,0.4235,1.71773,1.0435,0.01452,0.95,0.94514,0.86279,0.38513,3.20986,0.97104,5.32e-05,5.32e-05,5.32e-05
58,195.404,0.37301,1.6523,0.96165,0.01452,0.95,0.94514,0.86279,0.38513,3.20986,0.97104,4.23938e-05,4.23938e-05,4.23938e-05
59,198.839,0.31377,1.57963,0.86249,0.01452,0.95,0.94514,0.86279,0.38513,3.20986,0.97104,3.1175e-05,3.1175e-05,3.1175e-05
60,202.172,0.37345,1.64355,0.93399,0.01228,0.95,0.94513,0.87278,0.37888,3.17385,0.96522,1.95438e-05,1.95438e-05,1.95438e-05
1,3.22753,0.96613,3.25924,1.39925,0.00558,0.9,0.24663,0.16203,0.80596,3.8468,1.36135,0,0,0
2,6.48393,1.09751,3.34823,1.534,0.00589,0.9,0.24717,0.16011,0.7923,3.82645,1.34783,1.24186e-05,1.24186e-05,1.24186e-05
3,9.78151,1.07229,3.37425,1.46634,0.00608,0.9,0.25094,0.16172,0.76524,3.78853,1.34114,2.46743e-05,2.46743e-05,2.46743e-05
4,13.1948,1.03743,3.2123,1.4111,0.00662,0.9,0.23032,0.16297,0.73651,3.79333,1.32793,3.67673e-05,3.67673e-05,3.67673e-05
5,16.458,0.94634,3.18602,1.37898,0.007,0.9,0.2241,0.16327,0.70574,3.7833,1.30187,4.86974e-05,4.86974e-05,4.86974e-05
6,19.6911,0.88066,3.19998,1.31099,0.00749,0.9,0.24321,0.17384,0.6907,3.75335,1.28778,6.04646e-05,6.04646e-05,6.04646e-05
7,22.9483,1.04131,3.21356,1.51121,0.00861,0.95,0.27918,0.19451,0.63948,3.75629,1.24741,7.20691e-05,7.20691e-05,7.20691e-05
8,26.2816,0.91033,3.12192,1.3646,0.00809,0.95,0.33173,0.24079,0.60708,3.74426,1.21351,8.35107e-05,8.35107e-05,8.35107e-05
9,29.6617,0.91176,3.10384,1.38465,0.00781,0.95,0.39232,0.27903,0.57129,3.72658,1.1887,9.47895e-05,9.47895e-05,9.47895e-05
10,32.9522,0.90435,3.09616,1.336,0.00715,0.95,0.40231,0.29019,0.51753,3.7033,1.15131,0.000105905,0.000105905,0.000105905
